id,center_name,district,taluk_or_city,address,latitude,longitude,contact_person,phone_number,map_link,status
BOY-1,IMAM SHAFI ISLAMIC ACADEMY KUMBLA,KASARAGODE,,,,,SHEIKHALI ASHAFI,87149 27760,https://maps.app.goo.gl/P774MtxNZDiyiGxt6,TRUE
BOY-2,"KUNIYA GROUP OF INSTITUTIONS, KUNIYA KASARAGODE",KASARAGODE,,,,,HAFIZ JAMAL,8078 562 986,https://maps.app.goo.gl/qBNs7pBNhd4zdLEA8,TRUE
BOY-3,DARUL BIRR ISLAMIC ACADEMY PUNCHAKKAD PAYYANNUR,KANNUR,,,11.919,75.347,SHABEER PUNCHAKKAD,8129129786,https://maps.app.goo.gl/hKr4eqrFs68NsmCR8,TRUE
BOY-4,SHAMSUL ULAMA ISLAMIC ACADEMU KUTHUPARAMBA,KANNUR,,,11.8745,75.3704,DAVOOD,90480 68889,https://maps.app.goo.gl/MiEv3DBEWzvttqQF9,TRUE
BOY-5,SUPRABHATHAM AUDITORIUM CALICUT,KOZHIKODE,,,11.2450558,75.7754716,SIRAJ AHAMMED,9497273315,https://maps.app.goo.gl/ya6E6oncM8LD1a5F7,TRUE
BOY-6,SMI ENGLISH MEDIUM SCHOOL KUNHIPPALLI CHOMBALA VATAKARA (MAHE),KOZHIKODE,,,11.2588,75.7804,CPS FAIZY AZHIYOOR,97465 77756,https://maps.app.goo.gl/UrfCccrdkH4cDSoy6,TRUE
BOY-7,"SAMASTHALAYAM KALPETTA WAYANAD (SHARIA PLUS ONLY)
SUIA VENGAPPALLY (SHARI'A ONLY)",WAYANAD,,,11.7151292,76.1271185,UNAIS ALI WAFY,9744049515,https://maps.app.goo.gl/NuRTpBzuyvmJJHZQA,TRUE
BOY-8,GRACE VALLEY ISLAMIC COLLEGE FOR BOYS MARAVATTOM CHENGOTTUR KADAMPUZHA,MALAPPURAM EAST,,,10.7340392,76.032242,MAJID WAFY,9747394246,https://maps.app.goo.gl/FPVPRzLyvcDvvePY8,TRUE
BOY-9,HMS AUP SCHOOL THURAKKAL MANJERI,MALAPPURAM EAST,,,10.8512,76.1194,DR. M ABDUL QHAYYUM,70256 66630,https://maps.app.goo.gl/rynX3nLatjtyRixG6,TRUE
BOY-10,CRESCENT SNEC SHE CAMPUS VELIMUKKU,MALAPPURAM WEST,,,,,HAMEED SKIMVB,98952 98674,https://maps.app.goo.gl/vtCTeBp23gXT8aeG7,TRUE
BOY-11,AKMM COLLEGE KAINIKKARA,MALAPPURAM WEST,,,,,JABIR ANWARY,9495810402,https://maps.app.goo.gl/kQeKETUt92yXJxCJA,TRUE
