ROW #,NAME OF THE EXAM CENTRE,DISTRICT,GENERATED MAP LINK
2,IMAM SHAFI SHE CAMPUS KUMBLA,KASARAGODE,https://www.google.com/maps/search/?api=1&query=IMAM%20SHAFI%20SHE%20CAMPUS%20KUMBLA%20KASARAGODE
3,"KUNIYA GROUP OF INSTITUTIONS, KUNIYA KASARAGODE",KASARAGODE,https://www.google.com/maps/search/?api=1&query=KUNIYA%20GROUP%20OF%20INSTITUTIONS%2C%20KUNIYA%20KASARAGODE%20KASARAGODE
4,BUSTHANUL ULOOM MADRASA PUNCHAKKAD,KANNUR,https://www.google.com/maps/search/?api=1&query=BUSTHANUL%20ULOOM%20MADRASA%20PUNCHAKKAD%20KANNUR
5,KMKMMW WOMENS ACADEMY VENGAD,KANNUR,https://www.google.com/maps/search/?api=1&query=KMKMMW%20WOMENS%20ACADEMY%20VENGAD%20KANNUR
6,AL BIRR HEAD OFFICE VARAKKAL,KOZHIKODE,https://www.google.com/maps/search/?api=1&query=AL%20BIRR%20HEAD%20OFFICE%20VARAKKAL%20KOZHIKODE
7,SMI ENGLISH MEDIUM SCHOOL KUNHIPPALLI CHOMBALA VATAKARA (MAHE),KOZHIKODE,https://www.google.com/maps/search/?api=1&query=SMI%20ENGLISH%20MEDIUM%20SCHOOL%20KUNHIPPALLI%20CHOMBALA%20VATAKARA%20(MAHE)%20KOZHIKODE
8,SU VANITHA COLLEGE BATHERY,WAYANAD,https://www.google.com/maps/search/?api=1&query=SU%20VANITHA%20COLLEGE%20BATHERY%20WAYANAD
9,GRACE VALLEY ISLAMIC COLLEGE FOR GIRLS MARAVATTOM CHENGOTTUR KADAMPUZHA,MALAPPURAM EAST,https://www.google.com/maps/search/?api=1&query=GRACE%20VALLEY%20ISLAMIC%20COLLEGE%20FOR%20GIRLS%20MARAVATTOM%20CHENGOTTUR%20KADAMPUZHA%20MALAPPURAM%20EAST
10,HMS AUP SCHOOL THURAKKAL MANJERI,MALAPPURAM EAST,https://www.google.com/maps/search/?api=1&query=HMS%20AUP%20SCHOOL%20THURAKKAL%20MANJERI%20MALAPPURAM%20EAST
11,CRESCENT SNEC SHE CAMPUS VELIMUKKU,MALAPPURAM WEST,https://www.google.com/maps/search/?api=1&query=CRESCENT%20SNEC%20SHE%20CAMPUS%20VELIMUKKU%20MALAPPURAM%20WEST
12,AKMM COLLEGE  KAINIKKARA,MALAPPURAM WEST,https://www.google.com/maps/search/?api=1&query=AKMM%20COLLEGE%20%20KAINIKKARA%20MALAPPURAM%20WEST
13,MIC KOTTOPADAM MANNARKKAD,PALAKKAD,https://www.google.com/maps/search/?api=1&query=MIC%20KOTTOPADAM%20MANNARKKAD%20PALAKKAD
14,ORPHANAGE HIGHER SECONDARY SCHOOL VALLAPUZHA,PALAKKAD,https://www.google.com/maps/search/?api=1&query=ORPHANAGE%20HIGHER%20SECONDARY%20SCHOOL%20VALLAPUZHA%20PALAKKAD
